ticker,metric,period,current,revision_7d,source,fetched_at
A,eps,0q,1.48614,0.0848,yfinance,2026-07-22T12:20:48.089065Z
A,eps,+1q,1.71261,0.0771,yfinance,2026-07-22T12:20:48.089065Z
A,eps,0y,6.05804,0.0837,yfinance,2026-07-22T12:20:48.089065Z
A,eps,+1y,6.61176,0.091400005,yfinance,2026-07-22T12:20:48.089065Z
A,revenue,0q,1841490470.0,0.059499998,yfinance,2026-07-22T12:20:48.089065Z
A,revenue,+1q,1970501110.0,0.0588,yfinance,2026-07-22T12:20:48.089065Z
A,revenue,0y,7448489020.0,0.072,yfinance,2026-07-22T12:20:48.089065Z
A,revenue,+1y,7900869670.0,0.060700003,yfinance,2026-07-22T12:20:48.089065Z
AA,eps,0q,1.68146,85.073,yfinance,2026-07-22T12:20:48.089065Z
AA,eps,+1q,1.61401,0.28100002,yfinance,2026-07-22T12:20:48.089065Z
AA,eps,0y,6.63046,0.7587,yfinance,2026-07-22T12:20:48.089065Z
AA,eps,+1y,5.84212,-0.1189,yfinance,2026-07-22T12:20:48.089065Z
AA,revenue,0q,3809374050.0,0.2719,yfinance,2026-07-22T12:20:48.089065Z
AA,revenue,+1q,3838020550.0,0.112799995,yfinance,2026-07-22T12:20:48.089065Z
AA,revenue,0y,14751634970.0,0.1497,yfinance,2026-07-22T12:20:48.089065Z
AA,revenue,+1y,15228558140.0,0.0323,yfinance,2026-07-22T12:20:48.089065Z
AADX,eps,0q,0.01,,yfinance,2026-07-22T12:20:48.089065Z
AADX,eps,+1q,0.07667,,yfinance,2026-07-22T12:20:48.089065Z
AADX,eps,0y,0.105,,yfinance,2026-07-22T12:20:48.089065Z
AADX,eps,+1y,0.42,3.0,yfinance,2026-07-22T12:20:48.089065Z
AADX,revenue,0q,155239440.0,,yfinance,2026-07-22T12:20:48.089065Z
AADX,revenue,+1q,173034100.0,,yfinance,2026-07-22T12:20:48.089065Z
AADX,revenue,0y,676146010.0,,yfinance,2026-07-22T12:20:48.089065Z
AADX,revenue,+1y,788595410.0,0.1663,yfinance,2026-07-22T12:20:48.089065Z
AAL,eps,0q,0.04579,-0.9518,yfinance,2026-07-22T12:20:48.089065Z
AAL,eps,+1q,0.31362,2.8448,yfinance,2026-07-22T12:20:48.089065Z
AAL,eps,0y,0.59322,0.64779997,yfinance,2026-07-22T12:20:48.089065Z
AAL,eps,+1y,2.53025,3.2653,yfinance,2026-07-22T12:20:48.089065Z
AAL,revenue,0q,16692234590.0,0.1598,yfinance,2026-07-22T12:20:48.089065Z
AAL,revenue,+1q,15956484580.0,0.16549999,yfinance,2026-07-22T12:20:48.089065Z
AAL,revenue,0y,62510130400.0,0.1442,yfinance,2026-07-22T12:20:48.089065Z
AAL,revenue,+1y,64723653370.0,0.0354,yfinance,2026-07-22T12:20:48.089065Z
AAMI,eps,0q,1.035,0.6172,yfinance,2026-07-22T12:20:48.089065Z
AAMI,eps,+1q,1.19,0.5658,yfinance,2026-07-22T12:20:48.089065Z
AAMI,eps,0y,5.03667,0.5497,yfinance,2026-07-22T12:20:48.089065Z
AAMI,eps,+1y,6.32,0.2548,yfinance,2026-07-22T12:20:48.089065Z
AAMI,revenue,0q,172900000.0,0.3843,yfinance,2026-07-22T12:20:48.089065Z
AAMI,revenue,+1q,194200000.0,0.4248,yfinance,2026-07-22T12:20:48.089065Z
AAMI,revenue,0y,775785120.0,0.41279998,yfinance,2026-07-22T12:20:48.089065Z
AAMI,revenue,+1y,909156200.0,0.1719,yfinance,2026-07-22T12:20:48.089065Z
AAOI,eps,0q,0.015,1.0938,yfinance,2026-07-22T12:20:48.089065Z
AAOI,eps,+1q,0.27833,4.0926,yfinance,2026-07-22T12:20:48.089065Z
AAOI,eps,0y,0.88833,4.4167004,yfinance,2026-07-22T12:20:48.089065Z
AAOI,eps,+1y,4.772,4.3719,yfinance,2026-07-22T12:20:48.089065Z
AAOI,revenue,0q,190478400.0,0.85019994,yfinance,2026-07-22T12:20:48.089065Z
AAOI,revenue,+1q,264558500.0,1.2301,yfinance,2026-07-22T12:20:48.089065Z
AAOI,revenue,0y,1029864400.0,1.2599,yfinance,2026-07-22T12:20:48.089065Z
AAOI,revenue,+1y,2574139750.0,1.4994999,yfinance,2026-07-22T12:20:48.089065Z
AAON,eps,0q,0.49,1.2273,yfinance,2026-07-22T12:20:48.089065Z
AAON,eps,+1q,0.66,0.78379995,yfinance,2026-07-22T12:20:48.089065Z
AAON,eps,0y,2.26,0.67410004,yfinance,2026-07-22T12:20:48.089065Z
AAON,eps,+1y,3.415,0.5111,yfinance,2026-07-22T12:20:48.089065Z
AAON,revenue,0q,501150000.0,0.6085,yfinance,2026-07-22T12:20:48.089065Z
AAON,revenue,+1q,530950000.0,0.3818,yfinance,2026-07-22T12:20:48.089065Z
AAON,revenue,0y,2066175000.0,0.4328,yfinance,2026-07-22T12:20:48.089065Z
AAON,revenue,+1y,2398600000.0,0.1609,yfinance,2026-07-22T12:20:48.089065Z
AAP,eps,0q,0.79846,0.15720001,yfinance,2026-07-22T12:20:48.089065Z
AAP,eps,+1q,0.86139,-0.0637,yfinance,2026-07-22T12:20:48.089065Z
AAP,eps,0y,2.93917,0.3005,yfinance,2026-07-22T12:20:48.089065Z
AAP,eps,+1y,4.00911,0.36400002,yfinance,2026-07-22T12:20:48.089065Z
AAP,revenue,0q,2040080160.0,0.015,yfinance,2026-07-22T12:20:48.089065Z
AAP,revenue,+1q,2056773970.0,0.010199999,yfinance,2026-07-22T12:20:48.089065Z
AAP,revenue,0y,8574296870.0,-0.0031,yfinance,2026-07-22T12:20:48.089065Z
AAP,revenue,+1y,8788370810.0,0.025,yfinance,2026-07-22T12:20:48.089065Z
AAPL,eps,0q,1.89396,0.20629999,yfinance,2026-07-22T12:20:48.089065Z
AAPL,eps,+1q,2.0179,0.0908,yfinance,2026-07-22T12:20:48.089065Z
AAPL,eps,0y,8.7676,0.1753,yfinance,2026-07-22T12:20:48.089065Z
AAPL,eps,+1y,9.7111,0.1076,yfinance,2026-07-22T12:20:48.089065Z
AAPL,revenue,0q,108881511420.0,0.1579,yfinance,2026-07-22T12:20:48.089065Z
AAPL,revenue,+1q,114819264110.0,0.12060001,yfinance,2026-07-22T12:20:48.089065Z
AAPL,revenue,0y,478714605930.0,0.1503,yfinance,2026-07-22T12:20:48.089065Z
AAPL,revenue,+1y,522949683990.0,0.0924,yfinance,2026-07-22T12:20:48.089065Z
AAUC,revenue,0q,0.0,,yfinance,2026-07-22T12:20:48.089065Z
AAUC,revenue,+1q,0.0,,yfinance,2026-07-22T12:20:48.089065Z
AAUC,revenue,0y,2098445000.0,0.5756,yfinance,2026-07-22T12:20:48.089065Z
AAUC,revenue,+1y,2953156670.0,0.4073,yfinance,2026-07-22T12:20:48.089065Z
AB,eps,0q,0.83117,0.0936,yfinance,2026-07-22T12:20:48.089065Z
AB,eps,+1q,0.8902,0.035099998,yfinance,2026-07-22T12:20:48.089065Z
AB,eps,0y,3.511,0.0544,yfinance,2026-07-22T12:20:48.089065Z
AB,eps,+1y,3.92571,0.1181,yfinance,2026-07-22T12:20:48.089065Z
AB,revenue,0q,907667000.0,0.0749,yfinance,2026-07-22T12:20:48.089065Z
AB,revenue,+1q,939016000.0,0.0614,yfinance,2026-07-22T12:20:48.089065Z
AB,revenue,0y,3735828000.0,0.059899997,yfinance,2026-07-22T12:20:48.089065Z
AB,revenue,+1y,4036397000.0,0.0805,yfinance,2026-07-22T12:20:48.089065Z
ABBV,eps,0q,3.67215,0.2364,yfinance,2026-07-22T12:20:48.089065Z
ABBV,eps,+1q,3.83643,1.0626,yfinance,2026-07-22T12:20:48.089065Z
ABBV,eps,0y,14.14723,0.4147,yfinance,2026-07-22T12:20:48.089065Z
ABBV,eps,+1y,16.28042,0.1508,yfinance,2026-07-22T12:20:48.089065Z
ABBV,revenue,0q,16757253430.0,0.0865,yfinance,2026-07-22T12:20:48.089065Z
ABBV,revenue,+1q,17295715160.0,0.0963,yfinance,2026-07-22T12:20:48.089065Z
ABBV,revenue,0y,67250902560.0,0.0996,yfinance,2026-07-22T12:20:48.089065Z
ABBV,revenue,+1y,72811455440.0,0.08270001,yfinance,2026-07-22T12:20:48.089065Z
ABCB,eps,0q,1.66,0.044,yfinance,2026-07-22T12:20:48.089065Z
ABCB,eps,+1q,1.72333,0.12640001,yfinance,2026-07-22T12:20:48.089065Z
ABCB,eps,0y,6.73,0.123500004,yfinance,2026-07-22T12:20:48.089065Z
ABCB,eps,+1y,7.10714,0.055999998,yfinance,2026-07-22T12:20:48.089065Z
ABCB,revenue,0q,323704000.0,0.0744,yfinance,2026-07-22T12:20:48.089065Z
ABCB,revenue,+1q,331845000.0,0.059899997,yfinance,2026-07-22T12:20:48.089065Z
ABCB,revenue,0y,1299184600.0,0.0728,yfinance,2026-07-22T12:20:48.089065Z
ABCB,revenue,+1y,1364336800.0,0.050100002,yfinance,2026-07-22T12:20:48.089065Z
ABEV,eps,0q,0.03471,0.081599995,yfinance,2026-07-22T12:20:48.089065Z
ABEV,eps,+1q,0.04975,0.116000004,yfinance,2026-07-22T12:20:48.089065Z
ABEV,eps,0y,0.19608,0.0936,yfinance,2026-07-22T12:20:48.089065Z
ABEV,eps,+1y,0.21439,0.0934,yfinance,2026-07-22T12:20:48.089065Z
ABEV,revenue,0q,20820610060.0,0.0364,yfinance,2026-07-22T12:20:48.089065Z
ABEV,revenue,+1q,22234436140.0,0.0665,yfinance,2026-07-22T12:20:48.089065Z
